var,context,short def,long def,number of vars in sentence,context length,distance
ϕ,The function ϕ lies in H(I) and we conclude,function,function,1,9,1
ψ,here ψ is a smooth realvalued function,function,smooth realvalued function,1,7,5
βb,Pure brane couplings βb symbolizing interactions from the,couplings,Pure brane couplings,1,8,1
α,follow a procedure in which starting from the polarizability α of a Si embedded into a background with,polarizability,polarizability,1,18,1
εm,The total dielectric constant εm of the Si plus the background mixture is,constant,total dielectric constant,1,13,1
ε,embedded into a background with dielectric constant ε an dielectric constant is defined as,constant,dielectric constant,1,14,1
Qk,is the secondary companion to total mass ratio and Qk is the pulsation constant,constant,pulsation constant,1,14,4
L,Gribovcopy effect to become weaker with growing lattice extension L in accordance with Zwanziger’s conjecture ,extension,growing lattice extension,1,15,1
k^μ,The lattice momenta k^μ with integer,momenta,lattice momenta,1,6,1
T,The temperature T of the spin system is decreased by small,temperature,temperature,1,11,1
d,where d is the difference between the,difference,difference,1,7,3
p,depends on the nominal squeezing pressure p and the magnification ζ,pressure,nominal squeezing pressure,1,11,1
q,Note that in many cases there is rolloff wavevector q below which,wavevector,rolloff wavevector,1,12,1
ζ,We define the magnification ζ,magnification,magnification,1,5,1
A,When the applied squeezing pressure increases the contact area A will increase and the average surface separation u,area,contact area,1,18,1
H,where the Hurst exponent H is related to fractal dimension Df of the,exponent,Hurst exponent,1,13,1
Pu,The quantity Pu has many important applications,quantity,quantity,1,7,1
p,For nonadhesive interaction and small applied pressure p in a good agreement with,pressure,applied pressure,1,13,1
Df,the Hurst exponent H is related to fractal dimension Df of the surface via,dimension,fractal dimension,1,14,1
r,the repulsive potential U(r) where r is the distance between a pair of atoms,distance,distance between a pair of atoms,1,14,3
hrms,and have rootmeansquare roughness hrms fractal dimension is Df,roughness,rootmeansquare roughness,1,9,1
δov,taken into account as in with a free parameter δov calibrated against accurate stellar data from noninteracting,parameter,free parameter,1,17,1
jπ,The ground state has total angular momentum jπ with experimental binding energy of,momentum,total angular momentum,1,13,1
K,Here K is the hypermomentum lx and ly are the,hypermomentum,hypermomentum,1,10,3
j,the eigenstates for a given angular momentum j and εnj will be the associated energy,momentum,angular momentum,2,15,1
i,Here the index i denotes the number of hyperradial excitations,index,index,1,10,1
nb,basis up to nb hyperradial excitations in each channel,excitations,hyperradial excitations,1,9,2
εnj,the eigenstates for a given angular momentum j and εnj will be the associated energy,energy,associated energy,2,15,5
εmax,We found that a maximum excitation energy of εmax provided good convergence for all the,energy,maximum excitation energy,1,15,2
Rm,were matched to their asymptotic form at the radius Rm,radius,radius,1,10,1
Kmax,performed different calculations that truncate the maximum hypermomentum at Kmax and respectively,hypermomentum,maximum hypermomentum,1,12,2
ρ,hyperradius (ρ) and the hyperangle (α) are defined as,hyperradius,hyperradius,2,9,1
L,the subscript y and denote the lattice width by L,width,lattice width,1,10,2
K,of the walk is governed by a step fugacity K,fugacity,step fugacity,1,10,1
ν,where ν is simply the correlation length exponent defined in,exponent,correlation length exponent,1,10,6
λ,and the sum is dominated by this largest eigenvalue λ giving in the limit,eigenvalue,eigenvalue,1,14,1
ξ,It is straightforward to show that the correlation length ξ depends on the largest two eigenvalues through,length,correlation length,1,17,1
δρ,A natural order parameter is then δρ the difference between the densities,parameter,natural order parameter,1,12,3
P,and the two–sided probability P that the variables are uncorrelated,probability,two–sided probability,1,10,1
P,and a period P the relative planetary radius rp) the square of the normalized,radius,planetary radius,1,14,4
K,a Keplerian orbit model solving for the velocity semiamplitude K and the centerofmass velocity γ holding the period,semiamplitude,velocity semiamplitude,2,18,1
γ,for the velocity semiamplitude K and the centerofmass velocity γ holding the period and transit epoch fixed at,velocity,centerofmass velocity,2,18,7
Teff,Atmospheric parameters for the star (effective temperature Teff surface gravity logg metallicity,temperature,effective temperature,1,12,1
Rp,we determine that the radius of the planet is Rp,radius,radius of the planet,1,10,5
R⋆,stellar mass and radius of M and R⋆ and an estimated age of,radius,radius,2,13,4
M⋆,final values for the stellar mass and radius of M⋆ and R⋆ and an,mass,stellar mass,2,14,4
logg,parameters for the star (effective temperature Teff surface gravity logg and projected rotational velocity vsini) were,gravity,surface gravity,3,16,1
ρp,mass of previouslyknown transiting exoplanets and a density of ρp,density,density,1,10,2
Mp,has a mass of Mp similar to the average mass of,mass,mass,1,11,2
Ntr,We refer to this event as having transit number Ntr,number,transit number,1,10,1
Tc,We find that the center of transit is Tc and the total transit duration,center,center of transit,1,14,4
p,Let us denote by p and p' the fourmomenta of the two identical,fourmomentum,fourmomentum,2,13,4
t,hadron production happens instantly and simultaneously at some time t and that there are no correlations between,time,time,1,17,1
Ith,where Ith is the threshold current at which,current,threshold current,1,8,4
I,nonlinear damping (which is for small oscillation amplitudes) where I is the bias current and σ is the,current,bias current,1,18,4
n,In the expansion the index n describes the ϕdependence,index,index,1,9,1
p,Here p in the dimensionless oscillation power which,power,dimensionless oscillation power,1,8,5
ωc,fits to the spectra which yield the central frequency ωc and the linewidth Δω,frequency,central frequency,1,14,1
Δω,which yield the central frequency ωc and the linewidth Δω,linewidth,linewidth,1,10,1
N,ω is the (linear) mode frequency and the coefficient N describes a nonlinear frequency shift,shift,nonlinear frequency shift,2,15,5
Q,damping where Γ is the linear relaxation rate and Q is the phenomenological dimensionless parameter characterizing nonlinearity of,parameter,phenomenological dimensionless parameter,2,18,5
kBT,of autooscillation is comparable with the thermal noise energy kBT,energy,thermal noise energy,1,10,1
ζ,the theoretical and experimental lineshapes at the same supercriticality ζ,supercriticality,supercriticality,1,10,1
λ,where λ is the constant that relates dimensionless oscillation power,constant,constant,1,10,3
Ith,data we estimated the experimental critical current to be Ith which allows us to compare,current,experimental critical current,1,15,3
μ,of the particular statistical mode Pnμ while the index μ enumerates different modes having the same,index,index,1,16,1
η,in the “free” layer and the thermal noise energy η where λ is the,energy,thermal noise energy,1,14,1
t,to have the complex amplitude c at the time t given the amplitude at the zero moment of,time,time,2,18,1
I,where I is an identity matrix to mix the,matrix,identity matrix,1,9,4
B,two beamsplitters represented by the matrix B as,matrix,matrix,1,8,1
EN,versus the squeezing parameters EN corresponding to the twomode state q to be,parameters,squeezing parameters,2,13,1
r,with r being the squeezing parameter and ϕ the amplifier,parameter,squeezing parameter,1,10,4
w,stand for their output and input strengths respectively w is the total strength of the,strength,total strength,1,15,4
E△,based on the triangular motif E△ which reads,motif,triangular motif,1,8,1
wij,where wij is the weight of the connection from the,weight,weight of the connection,1,10,3
lP,relative to the surface element normal where lP denotes the Planck length,length,Planck length,1,12,4
L,in angular orientation of any null ray of length L along each transverse axis:,length,null ray length,1,14,1
Δθ,display quantum uncertainty of angular orientation with standard deviation Δθ for longitudinal propagation distance,deviation,standard deviation,1,14,1
Δx⟂,The standard deviation Δx⟂ of the difference in relative transverse positions is,deviation,standard deviation,1,12,1
A,are intercepted at two other events defining a triangle A,triangle,triangle,1,10,1
ℏ,where Planck’s constant ℏ has dropped out,constant,Planck’s constant,1,7,1
θ→,trajectories in the emergent third dimension at an angle θ→ relative to the surface element normal,angle,angle,1,16,1
B,For two such triangles A and B measured via the same rays at different events,triangle,triangle,2,15,3
x,here x and t are suitably nondimensionalised frequency and temperature,frequency,nondimensionalised frequency,2,10,6
σ,σ is the DC conductivity of the semiconductor,conductivity,DC conductivity of the semiconductor,1,8,4
dk⟂,to the factor k⟂ stemming from the isotropic infinitesimal dk⟂,infinitesimal,isotropic infinitesimal,1,10,1
S,From thermodynamics the Casimir entropy in the cavity S is given as,entropy,Casimir entropy in the cavity,1,12,4
μ,We have assumed μ everywhere for simplicity ϵ is the permittivity,permittivity,permittivity,1,11,7
t,here x and t are suitably nondimensionalised frequency and temperature respectively so,temperature,nondimensionalised temperature,2,12,6
A,Fij Ai and A are traceless Hermitean matrices,matrix,Hermitean matrix,3,8,3
ερ,the probabilities we refer to the set of states ερ constituted by the ensemble,set,set of states,1,14,3
Ef,measures so far include the entanglement of formation Ef and the corresponding asymptotic generalization the entanglement cost,entanglement,entanglement of formation,1,17,3
I,so they can be indeed regarded as Pauli operations I and σx,operation,Pauli operation,2,12,1
ρ,A mixed state ρ can be prepared in many ways,state,mixed state,1,10,1
ρw,the Werner state ρw which is important in QIT and has been,state,Werner state,1,12,1
ρF,concerns an important state in QIT the isotropic state ρF,state,isotropic state,1,10,6
εw,which indeed gives rise to the WernerOD family εw and each pure state |ψijk⟩ has,family,WernerOD family,2,15,1
|ψijk⟩,WernerOD family εw and each pure state |ψijk⟩ has identical amount of entanglement Ef(ρw),state,pure state,3,14,1
εσi,we can generate the new OD families εσi on the space,families,OD families,1,11,1
α,and the magnetic inclination α from the overall shape of the polarization position,inclination,magnetic inclination,1,13,1
z′,where z′ is the direction along the torus axis and,direction,direction along the torus axis,1,10,3
ζ,often derive a robust value for the spin inclination ζ,inclination,spin inclination,1,10,1
vcms,for a pulsar speed vcms through a density of,speed,pulsar speed,1,9,1
β,also possible to measure the magnetic pole impact parameter β from the polarization,parameter,magnetic pole impact parameter,1,13,1
MVmax,using the measured value of decline MVmax,value,measured value of decline,1,7,3
f,periodicity therefore the exact value of the frequency is f which corresponds to the periodicity,frequency,frequency,1,15,2
V,By using the maximum visual magnitude of V we measured the time required for a,magnitude,maximum visual magnitude,1,15,2
Rij,terminals i and its next neighbors j have resistances Rij,resistances,resistances,3,10,1
Rnl,This results in an oscillating nonlocal resistance Rnl with values of,resistance,oscillating nonlocal resistance,1,11,1
