var,context,def
"ω","and with the Brody parameter ω ","parameter"
"λ","and λ is the deformation parameter","parameter"
"ϵi","where ϵi are the unfolded energy levels","levels"
"α","and it is shown that the exponent α is related to","exponent"
"f","in terms of the frequency f","frequency"
"δn","We use the statistic δn defined by","statistic"
"λi","the horizontal axis is an eigenvalue λi and the vertical axis is a frequency","eigenvalue"
"k","Suppose that a node has k neighbors","neighbors"
"Mijd","Here the adjacency matrix for the directed graph Mijd is chosen based on","graph"
"Ci","Ci is the fraction of these allowable edges that","fraction"
"N","The size of this matrix is N","size"
"Miju","In this case the adjacency matrix Miju is chosen","matrix"
"Ω","both the function W and the frequency of oscillations Ω in powers of ϵ","oscillations"
"Vin","For general initial velocity Vin the energy at step","velocity"
"ω","a secondary mode of vibration with some characteristic frequency ω","frequency"
"vc","simulations show that waves traveling above a critical velocity vc the solitons pass by each other losing a","velocity"
"t","Here we use z as a spacelike variable and t as a timelike variable","variable"
"P","The period P can not be computed in closed form given","period"
"X","at distance X of equal magnitude heading toward each other with","distance"
"V","We will use capital V to represent velocities in the scaled time t","velocities"
"Vn","Thus the resonant initial velocity Vn solves","velocity"
"H","is stored as kinetic energy in the soliton modes H","modes"
"A","The variables A and B describe the envelopes of wave packets","variable"
"ΔS","determined by the solar neutrino mass scale ΔS the oscillation length at the","scale"
"Vs","vector and scalar potentials are given by Vv and Vs respectively","potential"
"E","where E is the energy of the particle c is","energy"
"n","where n is a nonnegative integer in such","integer"
"z","Defining the quantities z and B","quantity"
"Vv","The vector and scalar potentials are given by Vv and Vs respectively","potentials"
"qv","where the coupling constants qs and qv are dimensionless real parameters","constant"
"m","KleinGordon equation for a spinless particle of rest mass m reads","mass"
"c","where E is the energy of the particle c is the velocity of light and ℏ is","velocity"
"qs","where the coupling constants qs and qv are dimensionless real parameters","constans"
"ℏ","the particle c is the velocity of light and ℏ is the Planck constant","constant"
"t","prescribe how this scale factor will evolve over time t","time"
"Ω","Cosmologists use the letter Ω to designate the ratio of the actual massenergy","ratio"
"rc","much larger than the radii of the extra dimensions rc we would fail to notice them","dimensions"
"ns","the spectrum of primordial perturbations by a spectral index ns","index"
"k","where k is a constant connected","constant"
"c","we use units for which the speed of light c","speed"
"n","If the force lines could spread in n spatial dimensions then at a radius r from","dimensions"
"H","Consider a region of size H in which the average value of ϕ","size"
"ρ","proportional to the density of mass-energy in the universe ρ plus three times its pressure p","density"
"Sij","matter on the brane then the energy momentum tensor Sij in the brane is given by","tensor"
"pb","and the isotropic pressure pb of the brane","pressure"
"E","Both E and P are positive constants which are similarly","constants"
"R","where T is the global bulk time R is the bulk dimension and dΣk is the","dimension"
"vg","Thus the relative velocity of the gravitational signal vg must be greater than the relative velocity of","signal"
"μ","and μ is the five dimensional Schwarzschildlike mass","mass"
"σ","where σ is tension of the wall","tension"
"b","the point R it must have an impact parameter b greater than or equal to","parameter"
"ρ","relates the matter density ρ and pressure p on the brane","density"
"r","the geodesic equation for the radial coordinate r in terms of the global bulk time T","coordinate"
"p","state that relates the matter density ρ and pressure p on the brane","pressure"
"T","where T is the global bulk time R is the","time"
"Λ","is the antide Sitter radius of curvature Λ","curvature"
"M","fundamental mass scale M by using the relationship κ","scale"
"k","compared to the long wavelength of the Turing order k we will replace ","order"
"n","where n is an integer","integer"
"H","Turing and Hopf instabilities being denoted by T and H","instabilities"
"γ","where γ and β are the Lagrange multipliers associated to","multiplier"
"γ¯","where γ¯ and β¯ are the Lagrange multipliers associated to","multiplier"
"pi","where pi is the probability of ith state of the","probability"
"T~","The dimensionless empirical temperature T~ is determined by the method","temperature"
"η","The quantum viscosity η is of order","viscosity"
"bH","with bH a hydrodynamic scale factor ","factor"
"β","Here β is the unitary gas parameter","parameter"
"Tc","somewhat higher than the predicted superfluid transition temperature of Tc","temperature"
"ω","Radial breathing mode frequencies ω and damping times τ are determined from the","frequencies"
"τ","ω and damping times τ are determined from the oscillatory dependence of the","times"
"N","the data reported the total number of atoms is N","atoms"
"σ","where the collision cross section σ","section"
"h±","where h± is a charged hadron","hadron"
"mi","and nonnegative integers mi we have the fat point subschemes Z","integers"
"Fj","Fi is a free graded Amodule of the form Fj","form"
"Z′","Let Z′ be a fat point subscheme of IPd and","subscheme"
"H","the support of Z′ lies in the hyperplane H defined by","hyperplane"
"ξ","and ξ is a dimensionless coupling constant","constant"
"H","such as the scale factor a the Hubble parameter H the comoving time t and the scalar field","parameter"
"η","one can most simply realize by using conformal time η defined as dt","time"
"ε","where the small parameter ε is given by","parameter"
"Λbr","and the brane tension Λbr the effective four dimensional cosmological constant Λ can","tension"
"H","where H is the Hubble parameter defined","parameter"
"l","and l is the AdS radius","radius"
"E","the four-dimensional energy E is given by","energy"
"ρ","where ρ is the energy density defined by","density"
"j","Let j be the positive integers","integers"
"𝒩","where 𝒩 is the number density of the photons","density"
"n","an isotropic and homogeneous photon gas with refractive index n","index"
"ωp","plasma effects into account by introducing the plasma frequency ωp","frequency"
"ℰ","fine structure constant ϵ is the permittivity of vacuum ℰ is the energy density of the radiation gas","density"
"T","where the temperature T is given in Kelvin we have","temperature"
"ν","We thus obtain a collision frequency ν where 𝒩 is the number density","frequency"
"N","In simulations of N time steps the mortality function m(a) is measured","steps"
